CNPJ,nome fantasia,razao social,Nome contato,Setor,Atividade (CNAE),Endereço,Número,Bairro,Cidade,UF,CEP,PORTE,Fundação,Capital Social,MEI,Simples,Origem,Site,email,telefone,socio
21302791000184,,PIEMONTE CONSULTORIA E GESTAO DE NEGOCIOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA VITOR KONDER,125,CENTRO,FLORIANOPOLIS,SC,88015400,Médio/Grande Porte,24/10/2014,"3.616.950,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,99  99999999,"CHRISTIANE SCHURMANN DA SILVA (Sócio-Administrador),ERNANI SERPA JUNIOR (Sócio-Administrador)"
01194119000105,,MISSIURA CONSULTORIA E TREINAMENTO SOCIEDADE SIMPLES LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA 2700,551,CENTRO,BALNEARIO CAMBORIU,SC,88330376,Micro Empresa,08/05/1996,"100.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,juridico@argentacontabilidade.com.br,55  37443600,"SANDRO ALEX MISSIURA (Sócio-Administrador),VALDIR MISSIURA (Sócio-Administrador)"
02510141000180,AMB-ASSESSORIA DE MERCADO BRASIL,AMB SOLUCOES EMPRESARIAIS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA RIO BRANCO,404,CENTRO,FLORIANOPOLIS,SC,88015200,Médio/Grande Porte,08/05/1998,"34.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,pavao@ambconsultoria.com.br,53  84029091,"CARLOS ANDRE PAVAO XAVIER (Sócio-Administrador),GABRIEL HADRICH PAVAO XAVIER (SÓCIO/ADMINISTRADOR)"
19680158000188,WHM SOLUCOES,WHM SOLUCOES EM TELECOMUNICACOES LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JOSE PEREIRA MACIEL,105,CENTRO,PASSO DE TORRES,SC,88980000,Micro Empresa,14/01/2014,"15.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),whmtelecom.com.br,"diego@whmtelecom.com.br,contato@whmtelecom.com.br",51  96503979,"CASSIO ROBERTO ROCHA WITT (Sócio-Administrador),DIEGO MAGNUS EVALDT (Sócio-Administrador),MURILO MACHADO HESPANHOL (Sócio-Administrador)"
00675670000108,AZIENDA CONSULTORIA LTDA,AZIENDA CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JOAO PINTO,30,CENTRO,FLORIANOPOLIS,SC,88010420,Micro Empresa,03/07/1995,"80.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),azienda.com.br,marco@azienda.com.br,51  34901090,
05874572000113,,ACOF CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RODOVIA SC 450,S/N,CENTRO,PASSO DE TORRES,SC,88980000,Médio/Grande Porte,06/08/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,51  33141600,ALVARO LUIS CHIES (Sócio-Administrador)
03046469000150,GLOBAL PLACE,GLOBAL PLACE CONSULTORIA S/A,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ANDORINHA,10,ARIRIBA,BALNEARIO CAMBORIU,SC,88338495,Micro Empresa,16/03/1999,"188.300,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,juridico@partech.net.br,51  30257600,"CARLA ALESSANDRA GOMES SIQUEIRA (Diretor),EDUARDO CARBONERA LOVATO (Presidente)"
01123628000147,,ALIXANDRE & CIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA MARIA DO NASCIMENTO,111,LA SALLE,XANXERE,SC,89820000,Médio/Grande Porte,07/03/1996,"10.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,estecontabil@hotmail.com,49  99941079,"GUSTAVO KRAHL (SÓCIO/ADMINISTRADOR),NEDIR PAULO ALIXANDRE (Sócio-Administrador)"
20601424000119,PROJESSUL,AT CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA RIO DE JANEIRO,770,BRASILIA,SAO LOURENCO DO OESTE,SC,89990000,Micro Empresa,09/07/2014,"10.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,henrique.zilli@zilliconsultoria.com.br,49  99935588,"ALEX CLEIDIR TARDETTI (Sócio-Administrador),RUBIA MARIA TREVISOL (SÓCIO/ADMINISTRADOR)"
17201222000175,EUEX,SRAFAIEL CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA DA PEDRA,347,PEDRA BRANCA,PALHOCA,SC,88137045,Micro Empresa,22/11/2012,"20.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,salvir@srafaiel.com.br,49  99901133,"JESSICA RAFAIEL (SÓCIO/ADMINISTRADOR),SALVIR JOSE RAFAIEL (Sócio-Administrador)"
